gu,adm_dong_nm,cluster,risk_type,gentrification_risk,xgb_pred_risk,xgb_risk_proba,risk_score,risk_score_display,risk_range,risk_grade,main_reason_1,main_reason_2,main_reason_3,main_reason_1_value,main_reason_2_value,main_reason_3_value,main_reason_1_shap,main_reason_2_shap,main_reason_3_shap,land_price_growth_final,transaction_growth_final,mkt_vital_balance,franchise_ratio_recent4_mean,franchise_ratio_change,bus_total_growth,new_corp_growth,external_inflow_log_recent,close_rate_recent_final,open_rate_recent_final
수정구,신흥2동,1,상업 급변형,1,1,0.9691,96.91,96.91,71~100점,관리대상,최근 개업률,프랜차이즈 변화율,최근 프랜차이즈 비율,1.5366,1.3166,6.8104,2.0675,0.6651,0.3899,0.0537558136144637,0.8666666666666668,-0.0007024116132053,6.8104073076580764,1.316647401715091,0.4053106008713902,0.5,13.87420702561506,1.1357227015070857,1.5365919113995756
수정구,시흥동,1,상업 급변형,1,1,0.9686,96.86,96.86,71~100점,관리대상,최근 개업률,프랜차이즈 변화율,최근 프랜차이즈 비율,1.7975,0.7813,8.405,1.9585,0.6005,0.408,0.0842737995377264,2.494736842105264,0.0012086052695189,8.404967237395944,0.7812636075278716,0.5309869757631716,0.0714285714285714,14.359673957464162,1.176892949355921,1.797497092610519
수정구,고등동,2,인구-과밀 불안정형,1,1,0.9612,96.12,96.12,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,1.6779,6.6723,13.6829,2.1446,0.3771,0.2232,0.0370481351628961,-0.5686274509803921,0.0047846889952153,6.672291804128761,-1.8761827150140211,0.6013200394709971,-0.0285714285714285,13.682919854181817,0.9994476425202596,1.6778899879372378
분당구,운중동,2,인구-과밀 불안정형,1,1,0.9499,94.99,94.99,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,1.4817,6.5127,14.4189,2.1294,0.3846,0.3171,0.0635049299984372,0.6403508771929824,0.0014212957479568,6.512738464605115,-0.6304181656829231,0.46816710764322,0.5609756097560976,14.418878695988347,0.9835632615415,1.4817499369934095
분당구,정자1동,1,상업 급변형,1,1,0.9415,94.15,94.15,71~100점,관리대상,최근 개업률,프랜차이즈 변화율,최근 프랜차이즈 비율,1.2658,3.9014,9.8052,1.1067,0.7242,0.4736,0.0580110242398622,0.094017094017094,0.0039982864486648,9.805159506759152,3.901439717994821,0.4054506101768736,-0.1470588235294117,14.77107149695914,0.8088466030819695,1.2658339015116336
수정구,위례동,2,인구-과밀 불안정형,1,1,0.937,93.7,93.70,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,1.7298,6.4806,14.9515,2.0794,0.3662,0.3079,0.0718736803919578,0.6047904191616766,0.0034105187578531,6.480637446922345,-1.9869669602443567,,-0.2359550561797752,14.951489387543347,1.3758204743127849,1.729753959760397
중원구,금광1동,2,인구-과밀 불안정형,1,1,0.9248,92.48,92.48,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,상권 활력 균형,1.7361,6.0756,0.0014,2.1861,0.3652,0.1183,0.032750050994709,0.2777777777777778,0.0013842746400885,6.075592662370838,-0.3415515939133948,0.660753687908901,-0.8888888888888888,13.30383437257329,1.276019266634806,1.736118025771138
중원구,금광2동,2,인구-과밀 불안정형,1,1,0.9236,92.36,92.36,71~100점,관리대상,최근 개업률,최근 외부유입 규모,최근 폐업률,1.382,13.7166,1.1648,2.2737,0.2223,0.1043,0.032750050994709,0.2777777777777778,-0.0010184595798854,5.315923115322949,-0.633704050959528,0.0374106363823617,0.0,13.716616553173942,1.164815649351003,1.3820066043627697
중원구,중앙동,1,상업 급변형,1,1,0.9155,91.55,91.55,71~100점,관리대상,최근 개업률,프랜차이즈 변화율,버스 승하차 증가율,1.361,1.7332,0.4505,2.0834,0.6807,0.1721,0.0540795246967943,0.8461538461538461,0.0014484356894553,5.183398344698233,1.7332356092732426,0.4505111128071723,-0.7142857142857143,12.925626109751036,1.0779762007425857,1.3610139298802997
중원구,성남동,2,인구-과밀 불안정형,1,1,0.8855,88.55,88.55,71~100점,관리대상,최근 개업률,최근 외부유입 규모,부동산 거래량 증가율,1.5116,14.4755,-0.2091,2.1141,0.3133,0.1762,0.0401456995291555,-0.209090909090909,0.0038100967564044,4.014526526416727,-0.5078974707315149,0.2448025308840659,0.0181818181818181,14.47551053372285,1.2580716396670917,1.5116328867212574
분당구,야탑1동,2,인구-과밀 불안정형,1,1,0.88,88.0,88.00,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,1.2392,6.2349,14.5607,1.0909,0.3777,0.35,0.0599622458041999,-0.3382352941176471,0.0012493167798859,6.234882538700154,-0.2074708728468879,0.253903967465688,-0.1428571428571428,14.560652600255851,0.955737992202014,1.2392496978098713
분당구,백현동,2,인구-과밀 불안정형,1,1,0.8713,87.13,87.13,71~100점,관리대상,최근 개업률,최근 프랜차이즈 비율,최근 외부유입 규모,1.3606,16.3006,14.5077,1.2064,0.4683,0.3534,0.0874548777971823,2.971428571428572,0.0049492544793885,16.30062236503734,-1.215206877276536,0.3011105709560152,-0.1492537313432835,14.507660385082591,0.5538021734011336,1.360577439090247
수정구,산성동,1,상업 급변형,1,1,0.7242,72.42,72.42,71~100점,관리대상,프랜차이즈 변화율,최근 프랜차이즈 비율,부동산 거래량 증가율,1.5195,7.8973,-0.9706,0.8951,0.4337,0.3107,0.0700398793462596,-0.9705882352941176,-0.0039714058776806,7.897273767921419,1.5194675975123833,0.2877998163978082,,12.155148454068392,0.6486341336486694,1.0926438490378216
