행정동,latest_period,avg_land_price,land_price_growth_rate,transaction_count,transaction_growth_rate,real_estate_pressure_index_100,real_estate_pressure_level,real_estate_cluster_name
분당동,2025,4890509.375,3.4228143566155818,95.0,850.0,100.0,상,상승-거래활성형
백현동,2025,6783124.590163934,4.761545476779916,46.333333333333336,157.40740740740742,54.335420850602176,상,상승-거래정체형
복정동,2025,5454171.084337349,3.0155542820828303,22.0,340.0,52.68465277860606,상,상승-거래정체형
단대동,2025,4993459.016393443,3.7082736016835685,8.0,166.66666666666669,44.7712262380961,상,상승-거래정체형
수진1동,2025,5466317.647058823,3.9922479796033814,17.5,94.44444444444444,41.42818414334864,상,상승-거래정체형
수진2동,2025,5466317.647058823,3.9922479796033814,17.5,94.44444444444444,41.42818414334864,상,상승-거래정체형
신흥1동,2025,5809308.548707753,4.230717083950564,18.666666666666668,27.272727272727288,38.06688740794348,상,상승-거래정체형
신흥2동,2025,5809308.548707753,4.230717083950564,18.666666666666668,27.272727272727288,38.06688740794348,상,상승-거래정체형
신흥3동,2025,5809308.548707753,4.230717083950564,18.666666666666668,27.272727272727288,38.06688740794348,상,상승-거래정체형
중앙동,2025,6088379.245283019,4.599944655788072,24.0,-20.0,37.68053911251404,상,상승-거래정체형
양지동,2025,4054961.4285714286,3.52159112211397,2.0,100.0,37.274833322642024,상,상승-거래정체형
삼평동,2025,8648802.739726027,4.708513634804697,33.5,-40.17857142857143,37.033730976618166,상,상승-거래정체형
산성동,2025,6145406.666666667,5.09897233859525,1.0,-98.18181818181819,35.94470279757891,상,상승-거래정체형
판교동,2025,6744716.363636364,4.294830739922085,73.33333333333334,-5.9829059829059705,35.87260814205954,상,상승-거래정체형
서현1동,2025,6128232.923076923,3.441838322887267,76.0,76.74418604651163,34.51603282210293,상,상승-거래정체형
서현2동,2025,7946352.631578947,3.264452855157206,59.0,90.32258064516128,33.926038862843335,상,상승-거래정체형
위례동,2025,6238498.039215687,3.489971554445977,134.0,55.81395348837209,33.2114822005637,상,상승-거래정체형
은행1동,2025,4503143.333333333,2.9987549662209156,7.0,100.0,32.13689241948083,중상,상승-거래정체형
은행2동,2025,4503143.333333333,2.9987549662209156,7.0,100.0,32.13689241948083,상,상승-거래정체형
시흥동,2025,3014821.3973799124,4.211688593975473,332.0,-41.03019538188277,32.0790762430294,중상,상승-거래정체형
금곡동,2025,4257466.871165644,3.9443508884293244,143.0,-17.81609195402299,31.423456054599754,중상,상승-거래정체형
구미1동,2025,5294566.279069767,3.651795951974389,320.5,4.397394136807818,30.435044459883258,중상,상승-거래정체형
이매2동,2025,6601933.196107784,3.8294979585833557,198.83333333333334,-16.280701754385962,30.425187038104564,중상,상승-거래정체형
신촌동,2025,2890667.6470588236,2.7319702662459884,39.0,85.71428571428571,28.30192954874003,중상,상승-거래정체형
이매1동,2025,4139032.2580645164,3.4129422682866575,37.5,-8.536585365853659,26.989361153044637,중상,상승-거래정체형
성남동,2025,6311002.040816327,3.0635920194306325,87.0,27.941176470588236,26.65425235304084,중상,상승-거래정체형
태평4동,2025,4832634.301270418,3.1259526039464767,11.5,17.94871794871795,26.41843585476176,중상,상승-거래정체형
태평3동,2025,4832634.301270418,3.1259526039464767,11.5,17.94871794871795,26.41843585476176,중상,상승-거래정체형
